cash_type,money,timestamp,coffee_name_americano,coffee_name_americano with milk,coffee_name_cappuccino,coffee_name_cocoa,coffee_name_cortado,coffee_name_espresso,coffee_name_hot chocolate,coffee_name_latte
0,38.7,1711709779,False,False,False,False,False,False,False,True
0,38.7,1711715657,False,False,True,False,False,False,False,False
0,38.7,1711716092,False,False,True,False,False,False,False,False
1,40.0,1711718564,False,False,True,False,False,False,False,False
0,38.7,1711799959,False,False,False,False,False,False,False,True
1,40.0,1711806565,False,False,True,False,False,False,False,False
0,38.7,1711815151,False,False,False,False,False,False,False,True
0,38.7,1711816600,False,False,False,False,False,False,False,True
0,33.8,1711816677,False,True,False,False,False,False,False,False
0,38.7,1711881604,False,False,True,False,False,False,False,False
1,30.0,1711913805,True,False,False,False,False,False,False,False
0,28.9,1711967327,True,False,False,False,False,False,False,False
0,33.8,1711967382,False,True,False,False,False,False,False,False
0,33.8,1711967443,False,True,False,False,False,False,False,False
0,33.8,1711970143,False,True,False,False,False,False,False,False
1,40.0,1711990902,False,False,True,False,False,False,False,False
0,33.8,1711995522,False,True,False,False,False,False,False,False
0,38.7,1711997127,False,False,False,False,False,False,True,False
0,38.7,1712052074,False,False,False,False,False,False,False,True
0,28.9,1712074714,True,False,False,False,False,False,False,False
0,28.9,1712074768,False,False,False,False,True,False,False,False
1,40.0,1712087971,False,False,True,False,False,False,False,False
0,28.9,1712139553,False,False,False,False,True,False,False,False
0,28.9,1712139607,True,False,False,False,False,False,False,False
0,38.7,1712149925,False,False,True,False,False,False,False,False
1,30.0,1712158571,False,False,False,False,True,False,False,False
0,38.7,1712227495,False,False,False,False,False,False,False,True
0,38.7,1712229998,False,False,False,False,False,False,False,True
0,38.7,1712230068,False,False,True,False,False,False,False,False
0,28.9,1712233382,False,False,False,False,True,False,False,False
1,40.0,1712259727,False,False,False,False,False,False,False,True
0,28.9,1712313642,True,False,False,False,False,False,False,False
0,28.9,1712313726,True,False,False,False,False,False,False,False
0,28.9,1712315174,False,False,False,False,True,False,False,False
0,33.8,1712319267,False,True,False,False,False,False,False,False
0,38.7,1712327020,False,False,False,False,False,False,False,True
0,28.9,1712327090,False,False,False,False,True,False,False,False
1,40.0,1712331050,False,False,False,False,False,False,False,True
1,40.0,1712332455,False,False,True,False,False,False,False,False
1,30.0,1712332530,True,False,False,False,False,False,False,False
1,40.0,1712333863,False,False,False,True,False,False,False,False
0,24.0,1712333903,False,False,False,False,False,True,False,False
0,33.8,1712406751,False,True,False,False,False,False,False,False
0,38.7,1712412798,False,False,True,False,False,False,False,False
0,28.9,1712412867,True,False,False,False,False,False,False,False
0,38.7,1712414990,False,False,False,False,False,False,False,True
0,38.7,1712484773,False,False,False,False,False,False,False,True
0,38.7,1712493871,False,False,True,False,False,False,False,False
0,38.7,1712493965,False,False,True,False,False,False,False,False
0,28.9,1712499384,False,False,False,False,True,False,False,False
0,24.0,1712499450,False,False,False,False,False,True,False,False
0,38.7,1712512876,False,False,False,False,False,False,True,False
0,33.8,1712512923,False,True,False,False,False,False,False,False
0,33.8,1712573901,False,True,False,False,False,False,False,False
0,38.7,1712573967,False,False,True,False,False,False,False,False
0,28.9,1712574080,True,False,False,False,False,False,False,False
0,38.7,1712574287,False,False,True,False,False,False,False,False
1,25.0,1712580865,False,False,False,False,False,True,False,False
1,35.0,1712591016,False,True,False,False,False,False,False,False
0,38.7,1712594497,False,False,False,False,False,False,False,True
0,28.9,1712600289,True,False,False,False,False,False,False,False
0,33.8,1712604147,False,True,False,False,False,False,False,False
0,38.7,1712604239,False,False,True,False,False,False,False,False
1,40.0,1712658147,False,False,True,False,False,False,False,False
1,30.0,1712658250,True,False,False,False,False,False,False,False
0,38.7,1712662948,False,False,False,False,False,False,False,True
0,38.7,1712675508,False,False,False,False,False,False,True,False
0,38.7,1712683523,False,False,False,False,False,False,True,False
1,25.0,1712744486,False,False,False,False,False,True,False,False
1,40.0,1712771707,False,False,False,False,False,False,True,False
0,24.0,1712771731,False,False,False,False,False,True,False,False
0,38.7,1712773499,False,False,True,False,False,False,False,False
0,38.7,1712779445,False,False,False,False,False,False,False,True
0,28.9,1712832083,True,False,False,False,False,False,False,False
0,28.9,1712832179,True,False,False,False,False,False,False,False
0,38.7,1712853323,False,False,False,False,False,False,False,True
0,38.7,1712863016,False,False,True,False,False,False,False,False
0,33.8,1712863116,False,True,False,False,False,False,False,False
0,38.7,1712948623,False,False,False,False,False,False,True,False
0,28.9,1712950703,False,False,False,False,True,False,False,False
0,38.7,1713011359,False,False,False,False,False,False,False,True
0,28.9,1713012182,True,False,False,False,False,False,False,False
1,40.0,1713020812,False,False,False,False,False,False,True,False
1,40.0,1713020875,False,False,False,False,False,False,True,False
0,38.7,1713025083,False,False,True,False,False,False,False,False
0,38.7,1713025179,False,False,False,False,False,False,False,True
0,38.7,1713030686,False,False,True,False,False,False,False,False
0,38.7,1713030799,False,False,True,False,False,False,False,False
1,40.0,1713092127,False,False,False,False,False,False,False,True
0,38.7,1713097479,False,False,True,False,False,False,False,False
1,30.0,1713097628,False,False,False,False,True,False,False,False
1,30.0,1713097746,False,False,False,False,True,False,False,False
1,35.0,1713097896,False,True,False,False,False,False,False,False
0,28.9,1713100909,False,False,False,False,True,False,False,False
0,28.9,1713104611,True,False,False,False,False,False,False,False
0,28.9,1713104666,True,False,False,False,False,False,False,False
0,28.9,1713104718,True,False,False,False,False,False,False,False
0,38.7,1713109587,False,False,True,False,False,False,False,False
0,28.9,1713113994,False,False,False,False,True,False,False,False
0,38.7,1713114045,False,False,False,False,False,False,False,True
0,38.7,1713119899,False,False,True,False,False,False,False,False
0,28.9,1713181524,True,False,False,False,False,False,False,False
0,28.9,1713200506,True,False,False,False,False,False,False,False
0,33.8,1713200569,False,True,False,False,False,False,False,False
0,33.8,1713209583,False,True,False,False,False,False,False,False
1,25.0,1713210118,False,False,False,False,False,True,False,False
1,35.0,1713264229,False,True,False,False,False,False,False,False
0,33.8,1713264385,False,True,False,False,False,False,False,False
0,38.7,1713271247,False,False,False,True,False,False,False,False
0,28.9,1713271927,False,False,False,False,True,False,False,False
0,28.9,1713279796,True,False,False,False,False,False,False,False
0,33.8,1713289324,False,True,False,False,False,False,False,False
0,38.7,1713289402,False,False,True,False,False,False,False,False
0,38.7,1713290945,False,False,False,True,False,False,False,False
0,28.9,1713360779,True,False,False,False,False,False,False,False
0,24.0,1713361440,False,False,False,False,False,True,False,False
1,40.0,1713370404,False,False,True,False,False,False,False,False
0,38.7,1713373295,False,False,True,False,False,False,False,False
